Date,Time,Label,Temperature_F,PIR_1,PIR_2,PIR_3,PIR_4,PIR_5,PIR_6,PIR_7,PIR_8,PIR_9,PIR_10,PIR_11,PIR_12,PIR_13,PIR_14,PIR_15,PIR_16,PIR_17,PIR_18,PIR_19,PIR_20,PIR_21,PIR_22,PIR_23,PIR_24,PIR_25,PIR_26,PIR_27,PIR_28,PIR_29,PIR_30,PIR_31,PIR_32,PIR_33,PIR_34,PIR_35,PIR_36,PIR_37,PIR_38,PIR_39,PIR_40,PIR_41,PIR_42,PIR_43,PIR_44,PIR_45,PIR_46,PIR_47,PIR_48,PIR_49,PIR_50,PIR_51,PIR_52,PIR_53,PIR_54,PIR_55
2024-08-08,19:19:56,0,86,10269,10721,11156,11170,10931,10671,10395,10133,9885,9705,9538,9418,9469,9599,9817,9910,9890,10075,10231,10247,10271,10229,10272,10354,10449,10451,10419,10409,10336,10306,10356,10461,10456,10460,10467,10422,10303,9877,9308,9061,9299,9748,10209,10615,10975,11178,11197,11161,11096,10957,10839,10735,10590,10411,10329
2024-08-08,19:20:12,1,86,10364,10907,11299,11238,10867,10535,10173,9950,9856,9795,9714,9702,9792,9789,9915,9900,9944,9964,9971,10059,10161,10234,10285,10309,10384,10464,10450,10427,10366,10361,10452,10502,10444,10337,10250,10313,10211,9718,9236,9193,9609,10022,10431,10798,11055,11122,11145,11136,11108,11041,10824,10645,10493,10398,10357
2024-08-08,19:20:28,0,86,10329,10793,11197,11242,11052,10658,10288,9988,9819,9711,9659,9626,9726,9752,9835,9942,9925,9965,10110,10174,10140,10235,10303,10365,10366,10379,10375,10287,10310,10345,10373,10328,10387,10415,10491,10421,10432,9964,9368,9135,9287,9643,10184,10663,11016,11168,11204,11162,11109,11007,10867,10700,10533,10427,10265
2024-08-08,19:20:44,0,86,10169,10425,10822,11133,11136,10834,10520,10228,9986,9848,9643,9562,9591,9618,9718,9849,9857,10026,10150,10198,10261,10351,10425,10469,10374,10344,10303,10293,10294,10333,10353,10345,10354,10362,10375,10369,10319,10115,9603,9182,9125,9560,10161,10560,10883,11116,11273,11186,10984,10910,10807,10714,10651,10562,10463
2024-08-08,19:21:00,0,86,10320,10667,11104,11234,11129,10814,10453,10040,9733,9630,9578,9476,9596,9748,9755,9823,10004,10048,10202,10234,10255,10282,10298,10319,10315,10270,10334,10400,10428,10514,10529,10453,10374,10303,10298,10238,10246,9918,9399,9198,9422,9848,10225,10615,10860,11006,11257,11370,11173,10924,10816,10754,10588,10428,10407
2024-08-08,19:21:16,0,86,10271,10488,10944,11272,11252,10942,10510,10215,9976,9852,9661,9565,9577,9607,9587,9681,9782,9855,9947,9992,10121,10263,10410,10490,10466,10354,10399,10499,10496,10452,10307,10322,10447,10492,10436,10333,10256,10057,9608,9214,9067,9383,9911,10431,10806,11030,11226,11259,11261,11087,10922,10872,10687,10581,10505
2024-08-08,19:21:32,0,86,10314,10702,11132,11359,11104,10712,10353,10057,9813,9647,9553,9532,9587,9724,9850,9901,9997,10046,10123,10172,10124,10081,10236,10401,10482,10468,10434,10409,10409,10357,10284,10256,10322,10351,10342,10403,10394,9973,9414,9133,9207,9644,10210,10706,10963,11015,11097,11091,11123,11034,10952,10813,10633,10537,10391
2024-08-08,19:21:48,0,86,10434,10933,11237,11191,10901,10572,10205,9978,9801,9746,9612,9584,9580,9570,9664,9804,9908,10076,10228,10334,10364,10319,10261,10302,10388,10318,10269,10405,10506,10488,10466,10487,10461,10447,10396,10320,10044,9448,8947,9052,9523,9986,10426,10804,11120,11291,11226,11176,11104,10951,10797,10612,10514,10434,10357
2024-08-08,19:22:04,0,86,10366,10618,10973,11113,10882,10616,10357,10131,9843,9739,9662,9630,9696,9758,9732,9795,9842,9897,10042,10196,10316,10385,10457,10454,10448,10419,10341,10264,10248,10365,10420,10488,10490,10421,10409,10324,10215,9823,9266,9081,9282,9733,10251,10687,11053,11301,11356,11237,11101,10955,10749,10638,10516,10383,10331
2024-08-08,19:22:20,0,86,10389,10859,11208,11154,10807,10470,10059,9792,9679,9628,9650,9644,9725,9828,9876,9880,9924,10043,10195,10255,10329,10373,10353,10438,10495,10435,10317,10290,10285,10245,10373,10406,10465,10441,10399,10368,10173,9566,9086,9098,9506,9999,10448,10804,11053,11178,11211,11156,11101,11067,10882,10680,10471,10340,10322
2024-08-08,19:22:36,0,87,10295,10685,11119,11283,11098,10713,10280,9979,9810,9786,9708,9622,9615,9749,9827,9827,9877,9999,10062,10087,10200,10266,10362,10323,10297,10347,10352,10305,10289,10352,10393,10416,10342,10303,10384,10418,10446,10075,9527,9197,9275,9568,10073,10595,11025,11281,11294,11254,11155,11032,10836,10667,10512,10444,10400
2024-08-08,19:22:52,0,86,10398,10837,11073,11026,10792,10398,10113,9872,9744,9710,9680,9676,9667,9649,9782,9929,10057,10221,10313,10348,10351,10347,10345,10303,10278,10357,10321,10253,10309,10347,10349,10393,10375,10387,10417,10421,10205,9583,9121,9131,9498,9952,10315,10738,11079,11290,11230,11143,11062,10994,10815,10703,10551,10521,10410
2024-08-08,19:23:08,0,87,10416,10667,11098,11234,11080,10702,10372,10071,9781,9654,9630,9685,9634,9725,9652,9678,9889,10039,10097,10161,10212,10353,10370,10352,10360,10409,10442,10468,10476,10487,10501,10497,10436,10421,10351,10185,10055,9756,9311,9099,9247,9730,10186,10650,10982,11157,11186,11130,11087,11100,10884,10748,10717,10597,10434
2024-08-08,19:23:24,0,87,10444,10939,11330,11267,10891,10528,10213,9907,9689,9666,9635,9695,9697,9772,9862,9978,10064,10157,10134,10175,10231,10241,10214,10199,10228,10246,10353,10449,10517,10469,10419,10322,10294,10243,10329,10433,10241,9600,9171,9127,9457,9945,10415,10827,11062,11195,11274,11224,11108,10928,10796,10765,10686,10627,10469
2024-08-08,19:23:40,0,87,10533,10895,11283,11234,10927,10520,10187,9838,9640,9681,9698,9644,9518,9535,9645,9794,9973,10055,10154,10227,10221,10245,10278,10382,10463,10461,10415,10413,10434,10428,10422,10505,10506,10461,10423,10403,10246,9809,9267,9030,9252,9750,10333,10711,10986,11190,11217,11142,11076,10919,10760,10694,10647,10550,10363
2024-08-08,19:23:56,0,87,10501,10978,11273,11218,10920,10477,10141,9894,9707,9629,9639,9639,9635,9631,9695,9876,9993,10116,10207,10172,10216,10318,10395,10478,10432,10400,10450,10478,10468,10347,10356,10297,10291,10351,10396,10325,10111,9497,8987,8966,9330,9919,10526,10899,11184,11269,11186,11209,11219,11076,10966,10757,10644,10518,10355
2024-08-08,19:24:12,0,87,10255,10760,11272,11363,11080,10654,10323,10001,9754,9573,9609,9653,9688,9792,9830,9813,9890,10019,9991,10039,10177,10385,10387,10385,10414,10423,10382,10330,10379,10373,10386,10346,10328,10364,10378,10425,10331,9810,9206,9019,9204,9674,10288,10805,11163,11287,11379,11259,11150,11017,10820,10685,10493,10446,10392
2024-08-08,19:24:28,0,87,10295,10421,10840,11158,11150,10929,10574,10231,9897,9623,9563,9554,9570,9725,9804,9866,9910,9977,10048,10057,10160,10190,10378,10532,10472,10343,10315,10454,10448,10415,10374,10340,10353,10386,10461,10432,10417,10132,9480,9022,9089,9493,9982,10421,10863,11206,11319,11311,11179,11110,10924,10762,10648,10525,10425
2024-08-08,19:24:44,0,87,10226,10678,11115,11208,10972,10614,10355,10140,9941,9750,9625,9548,9578,9644,9677,9769,9912,9994,10069,10202,10295,10330,10333,10416,10463,10455,10432,10378,10385,10478,10536,10488,10355,10255,10281,10320,10267,9693,9145,8961,9173,9657,10213,10614,10935,11203,11386,11431,11301,11201,11114,10886,10655,10454,10291
2024-08-08,19:25:00,0,87,10265,10536,11075,11338,11287,10950,10602,10261,9889,9652,9525,9477,9461,9495,9607,9764,9874,9987,10062,10094,10247,10318,10288,10306,10288,10362,10390,10364,10275,10314,10455,10425,10423,10433,10425,10389,10339,10093,9490,9100,9129,9584,10124,10552,10877,11183,11287,11270,11144,11006,11001,10928,10851,10697,10502
